School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Borough Name,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
2013-14,K013,84K358      ,Achievement First East New York Charter School,K358,557 PENNSYLVANIA AVENUE,K,19,,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11207,40.663673,-73.893754,5,42,1126,3085070,3038230001,East New York (Pennsylvania Ave)                                           
2013-14,K013,,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,557 PENNSYLVANIA AVENUE,K,19,494,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,0,1,4,0,1,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,11207,40.663673,-73.893754,5,42,1126,3085070,3038230001,East New York (Pennsylvania Ave)                                           
2013-14,K014,22K014,J.H.S. 014 Shell Bank,K014,2424 BATCHELDER STREET,K,22,558,,1,J.H.S. 014 Shell Bank,0,4,2,3,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11235,40.593521,-73.937672,15,48,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
2013-14,K015,15K015,P.S. 015 Patrick F. Daly,K015,71 SULLIVAN STREET,K,15,392,,1,P.S. 015 Patrick F. Daly,0,1,1,1,0,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,11231,40.677343,-74.011558,6,38,53,3008585,3005660001,Carroll Gardens-Columbia Street-Red Hook                                   
2013-14,K016,84K355      ,Williamsburg Collegiate Charter School,K355,157 WILSON STREET,K,14,,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11211,40.706023,-73.961476,1,33,535,3059906,3021770001,Williamsburg                                                               
2013-14,K016,14K016,P.S. 016 Leonard Dunkly,K016,157 WILSON STREET,K,14,249,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11211,40.706023,-73.961476,1,33,535,3059906,3021770001,Williamsburg                                                               
2013-14,K016,,157 WILSON STREET CONSOLIDATED LOCATION,,157 WILSON STREET,K,14,249,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,0,0,2,0,0,2C,1-250,0.43,1.03,1.23,0.99,0.41,BROOKLYN ,11211,40.706023,-73.961476,1,33,535,3059906,3021770001,Williamsburg                                                               
2013-14,K017,14K017,P.S. 017 Henry D. Woodworth,K017,208 NORTH  5 STREET,K,14,334,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11211,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
2013-14,K017,14K577,Conselyea Preparatory School,K577,208 NORTH  5 STREET,K,14,498,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11211,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
2013-14,K017,,208 NORTH  5 STREET CONSOLIDATED LOCATION,,208 NORTH  5 STREET,K,14,832,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,0,0,1,0,0,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,11211,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
